timestamp,timestamp,topic,msg,timestamp,topic,msg,timestamp,topic,msg
1724054451.126147,1724054451.126147,/camera/imu,,1724054451.126147,/novatel/oem7/bestpos,"header: 
  seq: 5583
  stamp: 
    secs: 1724054451
    nsecs: 125104784
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887700
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.689847690832984
lon: 128.47171835845424
hgt: 94.26750530302525
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0236501693725586
lon_stdev: 2.334444284439087
hgt_stdev: 2.881756544113159
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.126147,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1524]"
1724054451.1261528,1724054451.1261528,/camera/imu,,1724054451.1261528,/novatel/oem7/bestpos,"header: 
  seq: 5583
  stamp: 
    secs: 1724054451
    nsecs: 125104784
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887700
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.689847690832984
lon: 128.47171835845424
hgt: 94.26750530302525
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0236501693725586
lon_stdev: 2.334444284439087
hgt_stdev: 2.881756544113159
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.1261528,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1524]"
1724054451.225983,1724054451.225983,/camera/imu,,1724054451.225983,/novatel/oem7/bestpos,"header: 
  seq: 5584
  stamp: 
    secs: 1724054451
    nsecs: 225299408
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887800
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984768769241
lon: 128.47171840967297
hgt: 94.26553671061993
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.023613452911377
lon_stdev: 2.3343966007232666
hgt_stdev: 2.8816819190979004
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.225983,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1515, 1524]"
1724054451.2261746,1724054451.2261746,/camera/imu,,1724054451.2261746,/novatel/oem7/bestpos,"header: 
  seq: 5584
  stamp: 
    secs: 1724054451
    nsecs: 225299408
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887800
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984768769241
lon: 128.47171840967297
hgt: 94.26553671061993
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.023613452911377
lon_stdev: 2.3343966007232666
hgt_stdev: 2.8816819190979004
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.2261746,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1515, 1524]"
1724054451.326098,1724054451.326098,/camera/imu,,1724054451.326098,/novatel/oem7/bestpos,"header: 
  seq: 5585
  stamp: 
    secs: 1724054451
    nsecs: 325587696
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887900
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984765115855
lon: 128.47171844697982
hgt: 94.26282461360097
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0236105918884277
lon_stdev: 2.334218740463257
hgt_stdev: 2.881715774536133
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.326098,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1515, 1524]"
1724054451.3265107,1724054451.3265107,/camera/imu,,1724054451.3265107,/novatel/oem7/bestpos,"header: 
  seq: 5585
  stamp: 
    secs: 1724054451
    nsecs: 325587696
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368887900
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984765115855
lon: 128.47171844697982
hgt: 94.26282461360097
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0236105918884277
lon_stdev: 2.334218740463257
hgt_stdev: 2.881715774536133
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.3265107,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1515, 1524]"
1724054451.443749,1724054451.443749,/camera/imu,,1724054451.443749,/novatel/oem7/bestpos,"header: 
  seq: 5586
  stamp: 
    secs: 1724054451
    nsecs: 443295696
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368888000
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984768089575
lon: 128.47171851299362
hgt: 94.26209071930498
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0235230922698975
lon_stdev: 2.3341169357299805
hgt_stdev: 2.881439208984375
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.443749,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1523]"
1724054451.4444714,1724054451.4444714,/camera/imu,,1724054451.4444714,/novatel/oem7/bestpos,"header: 
  seq: 5586
  stamp: 
    secs: 1724054451
    nsecs: 443295696
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368888000
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984768089575
lon: 128.47171851299362
hgt: 94.26209071930498
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.0235230922698975
lon_stdev: 2.3341169357299805
hgt_stdev: 2.881439208984375
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.4444714,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1523]"
1724054451.5265129,1724054451.5265129,/camera/imu,,1724054451.5265129,/novatel/oem7/bestpos,"header: 
  seq: 5587
  stamp: 
    secs: 1724054451
    nsecs: 526050352
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368888100
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984765841309
lon: 128.47171850767023
hgt: 94.26805773191154
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.023594379425049
lon_stdev: 2.3340747356414795
hgt_stdev: 2.8816444873809814
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.5265129,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1524]"
1724054451.5265818,1724054451.5265818,/camera/imu,,1724054451.5265818,/novatel/oem7/bestpos,"header: 
  seq: 5587
  stamp: 
    secs: 1724054451
    nsecs: 526050352
  frame_id: ""gps""
nov_header: 
  message_name: ""BESTPOS""
  message_id: 42
  message_type: 0
  sequence_number: 0
  time_status: 180
  gps_week_number: 2328
  gps_week_milliseconds: 368888100
sol_status: 
  status: 0
pos_type: 
  type: 16
lat: 35.68984765841309
lon: 128.47171850767023
hgt: 94.26805773191154
undulation: 28.600000381469727
datum_id: 61
lat_stdev: 2.023594379425049
lon_stdev: 2.3340747356414795
hgt_stdev: 2.8816444873809814
stn_id: ""\0\0\0\0""
diff_age: 0.0
sol_age: 0.0
num_svs: 15
num_sol_svs: 14
num_sol_l1_svs: 14
num_sol_multi_svs: 14
reserved: 0
ext_sol_stat: 
  status: 6
galileo_beidou_sig_mask: 0
gps_glonass_sig_mask: 51",1724054451.5265818,/base_board/controller_cmd,"layout: 
  dim: []
  data_offset: 0
data: [1514, 1524]"
