timestamp,x,y,z,yaw,accel,steer
2038.205606496,452197.44979574456,3949667.116839317,88.62040857132524,-0.38600132158067507,0.0,-37.0
2038.303026976,452197.4562407145,3949667.1222820156,88.60370372701436,-0.3868047892252605,0.0,-38.0
2038.402883808,452197.45440789376,3949667.119807597,88.59772336296737,-0.38931421152750634,0.0,-40.0
2038.504047136,452197.4567427666,3949667.1280403165,88.6081852959469,-0.3880760701497396,0.0,-39.0
2038.605061312,452197.455222252,3949667.12577518,88.6112622730434,-0.3876097208658856,0.0,-39.0
2038.723853056,452197.454843951,3949667.126457841,88.61278389114887,-0.3873595106336805,0.0,-40.0
2038.80315024,452197.44957377424,3949667.1337735606,88.57160601764917,-0.38869507429334843,0.0,-40.0
2038.902779776,452197.44974915305,3949667.123935817,88.56414109282196,-0.38895912594265397,0.0,-39.0
2039.00297552,452197.4484692181,3949667.1248216415,88.56551503203809,-0.38860284254286026,0.0,-39.0
2039.102748512,452197.4512232635,3949667.1277370793,88.5725550306961,-0.3898529620700413,0.0,-39.0
2039.205795264,452197.4504860264,3949667.1261392413,88.57249203510582,-0.3862108061048719,0.0,-39.0
2039.302788096,452197.45010777365,3949667.123124695,88.56213920284063,-0.389530882941352,0.0,-39.0
2039.403145984,452197.45002671017,3949667.1211056043,88.5570153882727,-0.38750471242268897,0.0,-38.0
2039.503070496,452197.44773048203,3949667.1164324107,88.55492181330919,-0.3928248740302192,0.0,-39.0
2039.602928768,452197.44594936067,3949667.1164699746,88.55820303130895,-0.39024092102050784,0.0,-38.0
2039.718282944,452197.4480677184,3949667.1182595897,88.55058097466826,-0.3834970898098416,0.0,-38.0
2039.8030048,452197.4509722113,3949667.1186610595,88.55013944022357,-0.3905607376098635,0.0,-39.0
2039.902863808,452197.4479787512,3949667.1228645346,88.54995057266206,-0.3880384055243601,0.0,-39.0
2040.003412032,452197.447515689,3949667.1238454995,88.5547895859927,-0.38895393541124135,0.0,-39.0
2040.103082592,452197.44812805206,3949667.120871831,88.55475797783583,-0.38479725138346355,0.0,-39.0
2040.206398752,452197.44759298896,3949667.121040704,88.54769355989993,-0.39048900180392826,0.0,-40.0
2040.30296096,452197.4450519512,3949667.120988689,88.5475447429344,-0.3895987591213653,0.0,-39.0
2040.403939616,452197.44641334267,3949667.121036083,88.54065145272762,-0.3875035146077475,0.0,-39.0
2040.502985024,452197.4449070925,3949667.1191136437,88.55330664105713,-0.3873062744140626,0.0,-38.0
2040.60317632,452197.4447856631,3949667.119480069,88.55172904673964,-0.3864013917711047,0.0,-39.0
2040.719396736,452197.4447856631,3949667.119480069,88.55172904673964,-0.38805690511067725,0.0,-39.0
2040.802945152,452197.44493122614,3949667.11825918,88.5398005079478,-0.38663190460205077,0.0,-38.0
2040.902813952,452197.44985016965,3949667.126212377,88.54653629288077,-0.39536237843831407,0.0,-38.0
2041.002887584,452197.4500119859,3949667.1244876087,88.5439846329391,-0.391411585489909,0.0,-38.0
2041.103602912,452197.45237487025,3949667.1288912254,88.54342048056424,-0.3852896864149308,0.0,-39.0
2041.20607984,452197.4806962097,3949667.1047148225,88.10369709599763,-0.3873331587049699,0.0,-38.0
2041.303441248,452197.4752584243,3949667.114595879,88.21710173785686,-0.3877253765530056,0.0,-39.0
2041.403638048,452197.4759798704,3949667.112577505,88.20663558505476,-0.38778353712293867,0.0,-39.0
2041.503627168,452197.4706454977,3949667.1224509655,88.31055955868214,-0.3870792219373915,0.0,-38.0
2041.603073696,452197.4699723442,3949667.1240417394,88.31178345065564,-0.3898131679958768,0.0,-39.0
2041.719721504,452197.4595056921,3949667.1300459206,88.44785978924483,-0.38935413869222013,0.0,-40.0
2041.802952384,452197.46136181714,3949667.1274901317,88.44204453006387,-0.38740941958957253,0.0,-39.0
2041.903266656,452197.46194291534,3949667.1272435086,88.48502911627293,-0.3876503134833441,0.0,-38.0
2042.002985952,452197.4603965586,3949667.1270884504,88.48488923814148,-0.3860649388631185,0.0,-38.0
2042.103064064,452197.4473037117,3949667.130185689,88.64064467418939,-0.38922903357611777,0.0,-39.0
2042.205917888,452197.4477959178,3949667.1311257025,88.63944939430803,-0.39221478695339634,0.0,-39.0
2042.304940256,452197.4559781196,3949667.1301373066,88.5175866400823,-0.38924700080023894,0.0,-38.0
2042.403431168,452197.45813353703,3949667.131228427,88.51007193420082,-0.38865022277832045,0.0,-39.0
2042.50331248,452197.4565292557,3949667.128962852,88.50696326419711,-0.38712367418077265,0.0,-38.0
2042.603492032,452197.45870619157,3949667.129635643,88.49960252922028,-0.39140958913167334,0.0,-39.0
2042.721056,452197.45443567453,3949667.1346428064,88.51216577459127,-0.3907650316026477,0.0,-38.0
2042.804942208,452197.46350242576,3949667.1341806506,88.47206358611584,-0.39128594801161054,0.0,-39.0
2042.904143904,452197.4642631254,3949667.125007022,88.46157492604107,-0.3935928064982097,0.0,-39.0
2043.003020704,452197.4652914922,3949667.1262603756,88.45791885443032,-0.39011794535319005,0.0,-38.0
2043.10329168,452197.4630728989,3949667.119538363,88.46091412380338,-0.38789573245578374,0.0,-39.0
